lbr_brand_nm,snpsht_day,mth_nm,snpsht_yr,sku_cd,catg,subcatg,glance_view
Kellogg's,1,APRIL,2024,B01D10FPI2,Grocery-Cereal & Muesli,Flakes,38.36
Kellogg's,1,APRIL,2024,B01M9ESMJB,Grocery-Cereal & Muesli,Flakes,138.51
Kellogg's,1,APRIL,2024,B07DJPSD1Q,Grocery-Cereal & Muesli,Flakes,253.63
Kellogg's,1,APRIL,2024,B08D3MHTC6,Grocery-Cereal & Muesli,Flakes,8779.13
Kellogg's,1,APRIL,2024,B0156LZIM2,Grocery-Cereal & Muesli,Flakes,37.15
Kellogg's,1,APRIL,2024,B0749V955L,Grocery-Cereal & Muesli,Flakes,1172.5
Kellogg's,1,APRIL,2024,B08D3R8X4Y,Grocery-Cereal & Muesli,Flakes,52.77
Kellogg's,1,APRIL,2024,B07K11R1HR,Grocery-Cereal & Muesli,Flakes,97.64
Kellogg's,1,APRIL,2024,B0C1NQNPDZ,Grocery-Cereal & Muesli,Flakes,94.65
Kellogg's,1,APRIL,2024,B0749V955L,"Grocery-Rice, Flour & Pulses",Flakes,774.38
Kellogg's,1,APRIL,2024,B00RZ73T04,Grocery-Cereal & Muesli,Flakes,614.48
Kellogg's,1,APRIL,2024,B07DJPSD1Q,Grocery-Cereal & Muesli,Flakes,37.25
Kellogg's,1,APRIL,2024,B07X6P7LBZ,Grocery-Cereal & Muesli,Muesli,584.34
Kellogg's,1,APRIL,2024,B0CBRT8FPL,Grocery-Cereal & Muesli,Flakes,12751.48
Kellogg's,1,APRIL,2024,B01D10FPW8,Grocery-Cereal & Muesli,Flakes,1747.26
Kellogg's,1,APRIL,2024,B0CBRT8FPL,Grocery-Cereal & Muesli,Flakes,135.43
Kellogg's,1,APRIL,2024,B00TIMOUDO,Grocery-Cereal & Muesli,Flakes,103.33
Kellogg's,1,APRIL,2024,B0B5DB1BWV,Grocery-Cereal & Muesli,Flakes,872.6
Kellogg's,1,APRIL,2024,B0156M0AN8,Grocery-Cereal & Muesli,Flakes,75.97
Kellogg's,1,APRIL,2024,B09BJSSSL3,Grocery-Cereal & Muesli,Flakes,39.31
Kellogg's,1,APRIL,2024,B012LUXKQC,Grocery-Cereal & Muesli,Flakes,5982.52
