selct_catg,selct_subcatg,dataset,keywrd_type,sov_type,sov_across,day,mth,yr,orgnc_covrg,advsov,cpc,conv,ctr,acos
Grocery-Cereal & Muesli,Muesli,YourBrand,Branded,SP,First_page_of_Search,30,4,2024,68.096,30.1002,14.244846,35.3846,6.5098,13.381996
Grocery-Cereal & Muesli,Muesli,YourBrand,Generic,SP,First_page_of_Search,30,4,2024,21.6218,9.4454,24.199951,27.4272,4.4454,28.094987
Grocery-Cereal & Muesli,Muesli,YourBrand,Competition,SP,First_page_of_Search,30,4,2024,5.6128,12.0294,31.778788,15.1515,1.0067,63.590334
Grocery-Cereal & Muesli,Muesli,YourBrand,All_Keywords,SP,First_page_of_Search,30,4,2024,22.291,11.9301,20.883319,29.7872,4.2624,22.715475
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Branded,SP,First_page_of_Search,30,4,2024,79.4381,58.4158,18.944352,44.4444,4.4647,11.997915
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Generic,SP,First_page_of_Search,30,4,2024,17.8189,16.1829,25.049934,25,1.9145,34.949012
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Competition,SP,First_page_of_Search,30,4,2024,8.1703,14.2669,18.363226,8.0645,1.1946,68.824354
Grocery-Cereal & Muesli,Muesli,Rank1Brand,All_Keywords,SP,First_page_of_Search,30,4,2024,16.2046,16.9416,22.784156,27.2152,2.0181,26.668193
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Branded,SP,First_page_of_Search,30,4,2024,37.928,32.1983,19.373077,28.75,2.3297,20.466762
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Generic,SP,First_page_of_Search,30,4,2024,62.072,67.8017,29.123705,21.8407,2.2308,40.478481
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,30,4,2024,100,100,25.891109,24.1313,2.2627,32.576932
Grocery-Cereal & Muesli,Muesli,YourBrand,Branded,SP,First_page_of_Search,30,5,2024,58.3621,15.5758,24.852121,39.3939,3.3864,24.829699
Grocery-Cereal & Muesli,Muesli,YourBrand,Generic,SP,First_page_of_Search,30,5,2024,24.7091,5.6425,46.990056,33.1461,3.1493,51.902255
Grocery-Cereal & Muesli,Muesli,YourBrand,Competition,SP,First_page_of_Search,30,5,2024,5.4465,2.5475,62.344444,0,1.3139,0
Grocery-Cereal & Muesli,Muesli,YourBrand,All_Keywords,SP,First_page_of_Search,30,5,2024,23.5832,5.9368,41.761146,33.5968,3.0533,46.500708
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Branded,SP,First_page_of_Search,30,5,2024,65.6328,51.3875,14.876129,67.7419,6.2,8.951678
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Generic,SP,First_page_of_Search,30,5,2024,1.4256,17.3686,35.712529,13.5057,2.0002,103.389451
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Competition,SP,First_page_of_Search,30,5,2024,0.3854,13.2166,31.037143,3.5714,1.1026,298.372588
Grocery-Cereal & Muesli,Muesli,Rank1Brand,All_Keywords,SP,First_page_of_Search,30,5,2024,1.7148,16.4626,33.625747,16.092,1.8932,82.3849
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Branded,SP,First_page_of_Search,30,5,2024,40.3387,31.4628,16.790654,25.817,2.0905,16.271071
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Generic,SP,First_page_of_Search,30,5,2024,59.6613,68.5372,27.040338,18.4755,2.0709,45.427066
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,30,5,2024,100,100,23.794664,20.8003,2.0771,32.438633
Grocery-Cereal & Muesli,Muesli,YourBrand,Branded,SP,First_page_of_Search,30,6,2024,68.8967,16.7511,15.780366,54.4503,7.6035,9.45768
Grocery-Cereal & Muesli,Muesli,YourBrand,Generic,SP,First_page_of_Search,30,6,2024,32.8925,3.2414,43.145409,29.0909,5.7113,53.84512
Grocery-Cereal & Muesli,Muesli,YourBrand,Competition,SP,First_page_of_Search,30,6,2024,6.2857,4.9164,55.488889,11.1111,0.6347,145.504341
Grocery-Cereal & Muesli,Muesli,YourBrand,All_Keywords,SP,First_page_of_Search,30,6,2024,30.2131,4.7837,30.965333,40.2381,5.3971,26.094199
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Branded,SP,First_page_of_Search,30,6,2024,85.595,24.6182,25.769194,39.5161,5.0612,19.571428
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Generic,SP,First_page_of_Search,30,6,2024,13.128,24.2759,37.507698,16.0377,1.8372,62.061983
Grocery-Cereal & Muesli,Muesli,Rank1Brand,Competition,SP,First_page_of_Search,30,6,2024,3.7271,15.9505,28.591053,7.8947,0.7031,69.373603
Grocery-Cereal & Muesli,Muesli,Rank1Brand,All_Keywords,SP,First_page_of_Search,30,6,2024,15.8258,22.5626,34.914624,19.7977,1.8854,48.395527
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Branded,SP,First_page_of_Search,30,6,2024,38.5848,29.8643,17.072762,31.4398,2.1016,16.704827
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,Generic,SP,First_page_of_Search,30,6,2024,61.4152,70.1357,28.858528,18.794,2.2385,46.249588
Grocery-Cereal & Muesli,Muesli,CategoryBenchmark,All_Keywords,SP,First_page_of_Search,30,6,2024,100,100,25.492579,22.4056,2.1976,34.558939
Grocery-Cereal & Muesli,Flakes,YourBrand,Branded,SP,First_page_of_Search,30,4,2024,73.4803,30.8524,21.878622,53.5433,4.8533,16.666637
Grocery-Cereal & Muesli,Flakes,YourBrand,Generic,SP,First_page_of_Search,30,4,2024,15.3515,10.4002,26.369955,41.5909,2.582,27.353454
Grocery-Cereal & Muesli,Flakes,YourBrand,Competition,SP,First_page_of_Search,30,4,2024,4.9162,1.5943,29.743333,0,0.5076,0
Grocery-Cereal & Muesli,Flakes,YourBrand,All_Keywords,SP,First_page_of_Search,30,4,2024,24.4002,11.9648,23.981441,47.8444,3.3845,20.903288
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Branded,SP,First_page_of_Search,30,4,2024,97.1291,33.5758,18.497057,49.0566,3.8534,13.041366
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Generic,SP,First_page_of_Search,30,4,2024,13.6871,26.3166,22.642844,24.3494,1.5035,33.201728
Grocery-Cereal & Muesli,Flakes,Rank1Brand,Competition,SP,First_page_of_Search,30,4,2024,9.4211,41.4287,17.540769,13.5628,1.521,47.695279
Grocery-Cereal & Muesli,Flakes,Rank1Brand,All_Keywords,SP,First_page_of_Search,30,4,2024,19.9917,31.9943,19.852513,25.2891,1.7262,27.853288
Grocery-Cereal & Muesli,Flakes,CategoryBenchmark,Branded,SP,First_page_of_Search,30,4,2024,49.2899,47.3711,21.903964,34.6239,2.4378,23.825794
Grocery-Cereal & Muesli,Flakes,CategoryBenchmark,Generic,SP,First_page_of_Search,30,4,2024,50.7101,52.6289,24.719395,25.469,1.7249,40.201184
